Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
03.02.2017|19.218|13.813|8.033|19.268|25.260|3.664|3.633|27.020|31.410|3.242|3.634|8.732|1.885|6.700|37.364|22.236|2.192|1.227|5.681|3.051|18.281|50.540|6.287|5.984|42.452|2.862|17.794|71.768|6.733|25.155|34.332|1.873
06.02.2017|19.292|13.812|8.087|19.313|25.322|3.677|3.633|27.020|31.432|3.251|3.628|8.740|1.893|6.728|37.551|22.465|2.219|1.238|5.697|3.054|18.416|50.800|6.318|5.994|42.853|2.856|17.884|72.017|6.856|25.219|34.274|1.897
07.02.2017|19.277|13.815|8.097|19.202|25.352|3.677|3.634|27.020|31.300|3.262|3.628|8.725|1.899|6.739|37.531|22.525|2.206|1.226|5.705|3.041|18.463|50.867|6.278|6.018|42.582|2.850|17.840|72.178|6.789|25.306|34.420|1.883
08.02.2017|19.356|13.818|8.110|19.273|25.407|3.687|3.634|27.020|31.679|3.265|3.622|8.735|1.901|6.752|37.734|22.638|2.213|1.233|5.707|3.041|18.509|50.754|6.267|6.022|42.765|2.859|17.882|72.318|6.805|25.333|34.358|1.888
09.02.2017|19.350|13.813|8.107|19.277|25.320|3.681|3.634|27.020|31.753|3.257|3.618|8.752|1.899|6.743|37.863|22.506|2.209|1.236|5.692|3.040|18.255|50.632|6.269|6.012|42.969|2.849|17.861|72.178|6.847|25.268|34.266|1.885
10.02.2017|19.433|13.815|8.170|19.352|25.330|3.696|3.634|27.020|31.682|3.276|3.622|8.760|1.909|6.783|37.983|22.404|2.210|1.254|5.720|3.035|18.260|50.888|6.291|6.004|43.389|2.848|17.881|72.449|6.898|25.422|34.521|1.905
13.02.2017|19.486|13.813|8.151|19.418|25.316|3.700|3.634|27.020|31.830|3.276|3.629|8.771|1.908|6.775|37.956|22.349|2.209|1.249|5.715|3.035|18.248|50.924|6.262|6.001|43.816|2.851|17.878|72.485|6.897|25.421|34.421|1.906
14.02.2017|19.562|13.814|8.219|19.522|25.348|3.708|3.634|27.020|31.754|3.278|3.624|8.769|1.908|6.792|38.073|22.438|2.238|1.257|5.717|3.043|18.283|51.029|6.283|5.998|44.336|2.855|17.963|72.724|6.968|25.437|34.451|1.942
15.02.2017|19.636|13.815|8.312|19.565|25.367|3.727|3.634|27.020|31.788|3.298|3.623|8.761|1.920|6.836|38.268|22.361|2.241|1.258|5.753|3.052|18.373|51.245|6.281|5.985|44.315|2.859|17.999|73.069|6.988|25.596|34.660|1.962
16.02.2017|19.570|13.813|8.337|19.491|25.375|3.701|3.635|27.020|31.742|3.267|3.627|8.764|1.904|6.824|37.851|22.340|2.225|1.252|5.694|3.047|18.324|50.812|6.258|5.976|44.369|2.852|17.890|72.458|6.921|25.360|34.234|1.960
17.02.2017|19.452|13.814|8.207|19.399|25.404|3.696|3.635|27.020|31.524|3.269|3.632|8.764|1.903|6.846|37.812|22.502|2.206|1.239|5.698|3.048|18.245|50.688|6.239|5.976|43.616|2.860|17.912|72.496|6.908|25.372|34.364|1.939
20.02.2017|19.527|13.815|8.220|19.413|25.370|3.702|3.635|27.020|31.731|3.279|3.627|8.765|1.906|6.863|38.020|22.494|2.217|1.244|5.709|3.051|18.287|50.533|6.247|5.976|43.844|2.851|17.943|72.649|7.023|25.449|34.480|1.941
21.02.2017|19.631|13.812|8.276|19.524|25.399|3.727|3.635|27.020|31.840|3.304|3.625|8.804|1.918|6.926|38.312|22.555|2.236|1.255|5.753|3.066|18.309|50.987|6.276|5.984|44.415|2.854|18.027|73.185|7.070|25.644|34.745|1.948
22.02.2017|19.738|13.814|8.338|19.518|25.394|3.737|3.635|27.020|31.992|3.312|3.628|8.787|1.923|6.931|38.376|22.745|2.250|1.284|5.772|3.065|18.414|51.108|6.287|5.977|44.468|2.853|18.129|73.407|7.135|25.700|34.691|1.961
23.02.2017|19.735|13.815|8.339|19.484|25.338|3.718|3.635|27.020|31.929|3.294|3.635|8.767|1.914|6.909|38.303|22.649|2.251|1.286|5.744|3.068|18.464|50.934|6.272|5.977|44.158|2.845|18.107|73.058|7.156|25.556|34.474|1.983
24.02.2017|19.557|13.814|8.246|19.429|25.370|3.710|3.634|27.020|31.975|3.281|3.637|8.756|1.910|6.889|38.237|22.695|2.255|1.293|5.735|3.058|18.362|50.735|6.268|5.982|43.834|2.839|18.144|73.016|7.112|25.468|34.415|1.972
27.02.2017|19.587|13.817|8.210|19.453|25.337|3.717|3.635|27.020|31.683|3.289|3.637|8.781|1.913|6.943|38.264|22.730|2.252|1.290|5.750|3.057|18.380|50.796|6.263|5.987|44.240|2.828|18.161|73.212|7.092|25.522|34.582|1.970
28.02.2017|19.570|13.814|8.202|19.323|25.377|3.713|3.635|27.020|31.676|3.285|3.633|8.766|1.912|6.966|38.254|22.739|2.262|1.282|5.742|3.046|18.382|50.739|6.260|5.979|43.749|2.824|18.220|73.110|7.039|25.497|34.490|1.959
01.03.2017|19.651|13.814|8.249|19.242|25.379|3.730|3.635|27.020|31.585|3.305|3.641|8.774|1.920|7.060|38.381|22.548|2.243|1.280|5.769|3.049|18.275|50.972|6.290|5.978|44.003|2.836|18.210|73.318|7.031|25.654|34.733|1.961
02.03.2017|19.525|13.815|8.266|19.206|25.368|3.733|3.635|27.020|31.578|3.310|3.641|8.763|1.924|6.962|38.486|22.474|2.243|1.289|5.776|3.042|18.227|50.981|6.292|5.975|43.807|2.838|18.206|73.394|6.938|25.695|34.649|1.961
03.03.2017|19.359|13.816|8.175|19.081|25.313|3.710|3.635|27.020|31.288|3.294|3.643|8.725|1.911|6.905|38.273|22.365|2.217|1.302|5.741|3.026|18.003|50.792|6.282|5.961|43.534|2.833|18.099|72.947|6.860|25.574|34.447|1.955
06.03.2017|19.391|13.814|8.213|19.049|25.262|3.699|3.635|27.020|31.306|3.285|3.647|8.729|1.911|6.936|38.269|22.410|2.209|1.306|5.734|3.013|17.917|50.741|6.269|5.966|43.894|2.834|18.087|72.811|6.868|25.506|34.343|1.963
07.03.2017|19.412|13.816|8.196|19.042|25.182|3.704|3.635|27.020|31.157|3.290|3.647|8.729|1.914|6.947|38.339|22.404|2.222|1.312|5.745|3.021|17.831|50.752|6.272|5.954|44.004|2.838|18.111|72.790|6.947|25.547|34.468|1.972
08.03.2017|19.342|13.813|8.135|19.038|25.266|3.710|3.635|27.020|31.163|3.300|3.641|8.696|1.920|6.955|38.387|22.380|2.224|1.302|5.754|3.019|17.751|50.858|6.266|5.938|43.806|2.837|18.084|72.629|6.847|25.631|34.554|1.960
09.03.2017|19.245|13.817|8.084|18.938|25.232|3.708|3.635|27.020|31.185|3.298|3.635|8.684|1.913|6.940|38.388|22.347|2.211|1.295|5.742|2.987|17.692|50.880|6.259|5.939|43.186|2.829|18.035|72.457|6.824|25.613|34.494|1.931
10.03.2017|19.179|13.817|8.010|18.871|25.154|3.687|3.635|27.020|30.989|3.281|3.642|8.652|1.905|6.914|38.247|22.077|2.204|1.289|5.724|2.957|17.608|50.709|6.247|5.940|43.101|2.821|17.964|71.998|6.789|25.482|34.313|1.921
13.03.2017|19.193|13.813|8.040|18.825|25.134|3.667|3.635|27.020|30.963|3.263|3.635|8.649|1.897|6.927|38.297|22.084|2.209|1.290|5.699|2.959|17.569|50.336|6.229|5.930|42.920|2.825|17.925|71.725|6.763|25.339|34.246|1.929
14.03.2017|19.200|13.815|8.044|18.841|25.197|3.677|3.635|27.020|30.855|3.271|3.638|8.679|1.901|6.938|38.642|22.126|2.210|1.296|5.712|2.952|17.557|50.531|6.252|5.947|42.791|2.845|17.966|71.957|6.793|25.415|34.279|1.932
15.03.2017|19.311|13.814|8.053|18.905|25.216|3.680|3.635|27.020|31.028|3.274|3.637|8.693|1.903|6.956|38.736|22.185|2.219|1.299|5.718|2.958|17.684|50.602|6.254|5.948|43.065|2.826|18.010|72.154|6.840|25.434|34.326|1.948
16.03.2017|19.377|13.814|8.133|18.929|25.264|3.653|3.634|27.020|31.128|3.245|3.641|8.715|1.887|6.944|38.545|22.232|2.235|1.320|5.675|2.950|17.601|50.311|6.286|5.937|43.459|2.849|17.974|71.964|6.931|25.195|34.166|1.983
17.03.2017|19.387|13.814|8.106|18.894|25.258|3.644|3.634|27.020|31.087|3.240|3.646|8.756|1.885|6.927|38.449|22.245|2.227|1.313|5.671|2.969|17.647|50.137|6.287|5.922|43.610|2.856|17.943|72.177|6.951|25.154|34.129|1.972
20.03.2017|19.413|13.815|8.089|18.818|25.207|3.639|3.634|27.020|31.130|3.236|3.649|8.755|1.887|6.920|38.435|22.294|2.252|1.315|5.677|2.960|17.693|50.197|6.310|5.925|43.681|2.842|17.978|72.365|6.916|25.129|34.117|1.983
21.03.2017|19.340|13.813|8.144|18.827|25.136|3.632|3.634|27.020|31.143|3.220|3.648|8.764|1.878|6.920|38.328|22.220|2.236|1.317|5.651|2.961|17.645|49.959|6.339|5.919|43.716|2.847|17.904|72.178|6.932|25.009|33.955|1.989
22.03.2017|19.183|13.816|8.071|18.686|25.220|3.631|3.633|27.020|31.122|3.219|3.647|8.739|1.876|6.837|38.220|22.506|2.233|1.306|5.647|2.954|17.599|49.809|6.311|5.927|43.139|2.841|17.886|72.203|6.901|25.003|34.048|1.985
23.03.2017|19.114|13.814|8.044|18.778|25.247|3.639|3.634|27.020|31.320|3.225|3.643|8.738|1.880|6.870|38.262|22.640|2.238|1.312|5.656|2.954|17.653|49.754|6.329|5.931|43.439|2.841|17.909|72.419|6.922|25.050|34.112|2.004
24.03.2017|19.057|13.813|7.988|18.700|25.210|3.633|3.633|27.020|31.201|3.219|3.642|8.721|1.877|6.868|38.247|22.499|2.233|1.323|5.651|2.944|17.546|49.804|6.328|5.935|43.799|2.833|17.867|72.342|6.901|25.008|34.067|2.005
27.03.2017|18.946|13.814|7.951|18.586|25.223|3.609|3.632|27.020|31.273|3.194|3.632|8.710|1.864|6.866|38.153|22.527|2.237|1.318|5.625|2.931|17.528|49.561|6.337|5.939|43.671|2.829|17.835|72.239|6.892|24.813|33.823|1.964
28.03.2017|18.922|13.815|7.962|18.575|25.277|3.615|3.631|27.020|31.253|3.203|3.635|8.739|1.869|6.885|38.249|22.550|2.235|1.318|5.635|2.925|17.481|49.600|6.363|5.935|43.660|2.835|17.850|72.299|6.865|24.883|34.017|1.923
29.03.2017|19.224|13.814|8.031|18.791|25.224|3.649|3.631|27.020|31.280|3.236|3.634|8.727|1.888|6.933|38.739|22.674|2.259|1.328|5.689|2.941|17.635|50.009|6.374|5.930|44.148|2.829|18.007|73.016|6.885|25.140|34.338|1.913
30.03.2017|19.311|13.812|8.050|18.859|25.255|3.653|3.632|27.020|31.346|3.237|3.629|8.734|1.889|6.941|38.761|22.626|2.253|1.342|5.692|2.947|17.653|50.152|6.396|5.945|44.776|2.826|18.037|73.103|6.906|25.159|34.264|1.955
31.03.2017|19.332|13.820|8.000|18.948|25.273|3.672|3.634|27.030|31.591|3.254|3.630|8.786|1.897|6.957|38.952|22.610|2.263|1.350|5.713|2.948|17.656|50.374|6.395|5.937|44.816|2.836|18.093|73.596|6.950|25.282|34.381|1.898
03.04.2017|19.300|13.828|8.121|19.004|25.318|3.685|3.636|27.045|31.718|3.264|3.640|8.761|1.904|6.990|39.035|22.794|2.271|1.354|5.729|2.957|17.762|50.590|6.397|5.945|45.014|2.843|18.151|73.784|6.965|25.367|34.419|1.871
04.04.2017|19.177|13.833|8.106|18.896|25.347|3.691|3.638|27.055|31.601|3.269|3.638|8.745|1.906|6.970|39.092|23.014|2.258|1.344|5.733|2.947|17.723|50.587|6.355|5.954|45.032|2.815|18.154|73.762|6.950|25.404|34.468|1.846
05.04.2017|19.226|13.837|8.218|18.951|25.267|3.680|3.639|27.060|31.660|3.266|3.633|8.734|1.905|6.944|39.106|22.820|2.253|1.353|5.726|2.953|17.683|50.543|6.396|5.960|45.402|2.827|18.109|73.473|6.873|25.370|34.419|1.850
06.04.2017|18.966|13.675|8.049|18.675|24.996|3.636|3.598|26.750|31.254|3.228|3.586|8.636|1.880|6.878|38.869|22.625|2.217|1.335|5.652|2.918|17.513|49.999|6.328|5.914|44.552|2.789|17.903|72.516|6.766|25.076|34.042|1.815
07.04.2017|18.815|13.583|7.964|18.635|24.839|3.626|3.572|26.565|31.049|3.217|3.566|8.559|1.877|6.852|38.863|22.585|2.203|1.332|5.637|2.901|17.423|50.110|6.288|5.879|43.918|2.769|17.831|72.252|6.690|24.999|33.922|1.810
10.04.2017|18.789|13.565|7.997|18.746|24.836|3.634|3.568|26.530|31.090|3.228|3.568|8.522|1.888|6.848|38.850|22.536|2.197|1.343|5.655|2.901|17.410|50.546|6.271|5.882|43.850|2.761|17.830|72.386|6.718|25.082|33.998|1.805
11.04.2017|18.860|13.632|8.022|18.851|24.925|3.640|3.585|26.660|31.245|3.231|3.590|8.561|1.891|6.868|38.945|22.717|2.195|1.344|5.664|2.921|17.441|50.652|6.284|5.911|44.100|2.779|17.887|72.578|6.768|25.112|33.964|1.815
12.04.2017|18.849|13.647|8.009|18.913|25.001|3.652|3.590|26.695|31.464|3.239|3.588|8.556|1.896|6.885|38.918|22.968|2.208|1.339|5.685|2.933|17.424|50.904|6.284|5.905|44.138|2.794|17.955|73.005|6.847|25.172|34.099|1.839
13.04.2017|19.039|13.653|8.026|18.982|24.991|3.648|3.591|26.705|31.505|3.231|3.596|8.544|1.895|6.876|38.989|23.018|2.220|1.351|5.693|2.934|17.596|50.783|6.290|5.910|44.594|2.787|17.989|73.143|6.850|25.122|34.065|1.857
18.04.2017|18.906|13.683|8.063|18.751|25.040|3.641|3.598|26.760|31.725|3.223|3.600|8.559|1.884|6.836|38.778|23.021|2.192|1.350|5.680|2.937|17.623|50.431|6.316|5.922|44.686|2.790|17.919|72.912|6.790|25.053|34.052|1.872
19.04.2017|18.799|13.700|8.031|18.590|25.066|3.629|3.602|26.795|32.117|3.213|3.599|8.558|1.879|6.816|38.697|22.923|2.192|1.339|5.678|2.927|17.538|50.237|6.326|5.908|44.464|2.785|17.880|72.654|6.820|24.985|34.004|1.879
20.04.2017|18.849|13.759|7.982|18.560|25.145|3.638|3.618|26.910|32.066|3.221|3.609|8.584|1.880|6.832|38.754|22.962|2.204|1.333|5.694|2.920|17.586|50.375|6.316|5.928|44.515|2.797|17.930|72.822|6.889|25.043|34.180|1.908
21.04.2017|18.948|13.771|8.000|18.686|25.220|3.657|3.622|26.935|32.168|3.238|3.613|8.573|1.890|6.842|38.967|23.080|2.217|1.337|5.724|2.913|17.631|50.535|6.303|5.928|44.706|2.794|18.020|73.215|6.907|25.179|34.379|1.916
24.04.2017|18.701|13.701|7.903|18.391|24.795|3.589|3.602|26.795|31.586|3.176|3.591|8.602|1.855|6.765|38.337|22.390|2.189|1.329|5.616|2.898|17.350|49.636|6.316|5.916|44.148|2.795|17.736|71.904|6.878|24.706|33.677|1.905
25.04.2017|18.523|13.686|7.799|18.100|24.728|3.572|3.598|26.770|31.524|3.158|3.587|8.588|1.851|6.745|38.236|22.247|2.179|1.305|5.623|2.874|17.122|49.503|6.333|5.915|43.881|2.788|17.647|71.413|6.842|24.580|33.633|1.884
26.04.2017|18.505|13.775|7.805|18.216|24.868|3.590|3.622|26.945|31.739|3.179|3.606|8.638|1.862|6.802|38.576|22.205|2.187|1.306|5.689|2.882|17.046|49.641|6.378|5.942|43.632|2.818|17.720|71.754|6.911|24.735|33.860|1.869
27.04.2017|18.477|13.773|7.836|18.219|24.894|3.591|3.621|26.935|31.900|3.181|3.599|8.632|1.859|6.791|38.602|22.209|2.182|1.303|5.695|2.885|17.012|49.352|6.380|5.947|43.392|2.799|17.713|71.487|6.945|24.752|33.871|1.852
28.04.2017|18.401|13.763|7.755|18.050|24.858|3.573|3.619|26.920|31.862|3.167|3.606|8.617|1.848|6.800|38.316|22.109|2.165|1.298|5.674|2.887|16.932|49.157|6.377|5.935|43.350|2.795|17.643|71.245|6.947|24.629|33.720|1.858
02.05.2017|18.523|13.750|7.777|18.012|24.782|3.574|3.616|26.890|31.820|3.166|3.607|8.614|1.851|6.826|38.367|21.952|2.180|1.315|5.693|2.868|17.039|49.279|6.389|5.910|43.212|2.792|17.668|71.419|6.964|24.639|33.742|1.856
03.05.2017|18.389|13.739|7.807|17.923|24.853|3.570|3.613|26.870|31.810|3.162|3.606|8.608|1.849|6.804|38.356|21.935|2.175|1.308|5.697|2.861|17.041|49.226|6.409|5.908|42.960|2.791|17.640|71.354|6.960|24.607|33.697|1.844
04.05.2017|18.118|13.686|7.685|17.835|24.687|3.553|3.600|26.770|31.580|3.148|3.594|8.578|1.838|6.769|38.163|21.711|2.157|1.291|5.661|2.824|16.815|49.043|6.357|5.888|42.275|2.776|17.506|70.761|6.880|24.499|33.546|1.809
05.05.2017|18.057|13.691|7.671|17.742|24.707|3.541|3.601|26.780|31.617|3.139|3.605|8.598|1.833|6.780|37.954|21.721|2.141|1.282|5.633|2.818|16.831|48.887|6.350|5.889|41.752|2.765|17.388|70.392|6.857|24.433|33.447|1.799
09.05.2017|18.010|13.637|7.688|17.872|24.383|3.547|3.585|26.670|31.636|3.147|3.592|8.555|1.835|6.799|37.892|21.503|2.153|1.277|5.635|2.833|16.896|49.023|6.316|5.861|42.030|2.758|17.360|70.470|6.811|24.497|33.571|1.793
10.05.2017|18.075|13.619|7.734|17.877|24.334|3.548|3.581|26.640|31.721|3.145|3.589|8.578|1.833|6.803|37.931|21.510|2.158|1.284|5.633|2.821|16.998|49.051|6.316|5.855|42.323|2.747|17.361|70.423|6.822|24.486|33.467|1.815
11.05.2017|18.051|13.602|7.742|17.847|24.289|3.549|3.575|26.600|31.488|3.145|3.583|8.566|1.834|6.782|38.051|21.506|2.171|1.291|5.633|2.851|16.770|49.102|6.296|5.847|42.870|2.757|17.396|70.488|6.835|24.495|33.460|1.833
12.05.2017|18.041|13.586|7.765|17.786|24.243|3.542|3.572|26.575|31.417|3.135|3.580|8.567|1.833|6.775|37.999|21.463|2.167|1.293|5.623|2.837|16.724|49.133|6.301|5.848|42.646|2.749|17.353|70.343|6.808|24.435|33.364|1.816
15.05.2017|17.958|13.533|7.770|17.727|24.187|3.501|3.558|26.470|31.166|3.098|3.562|8.561|1.813|6.706|37.664|21.269|2.160|1.291|5.575|2.836|16.671|48.600|6.289|5.818|42.895|2.736|17.253|69.844|6.784|24.124|32.941|1.830
16.05.2017|17.702|13.507|7.699|17.545|24.110|3.469|3.551|26.420|30.769|3.067|3.556|8.535|1.796|6.626|37.290|21.023|2.139|1.277|5.528|2.813|16.422|48.122|6.292|5.809|42.406|2.718|17.092|69.184|6.717|23.888|32.735|1.818
17.05.2017|17.604|13.514|7.671|17.464|24.199|3.456|3.553|26.435|30.834|3.053|3.558|8.544|1.785|6.604|37.098|21.176|2.124|1.274|5.500|2.821|16.389|47.848|6.316|5.800|41.940|2.709|17.054|68.909|6.696|23.778|32.653|1.816
18.05.2017|17.806|13.614|7.634|17.539|24.489|3.472|3.579|26.630|31.195|3.074|3.572|8.572|1.792|6.638|36.874|21.641|2.112|1.252|5.529|2.829|16.584|47.852|6.304|5.830|41.274|2.727|17.191|69.365|6.589|23.927|32.956|1.768
19.05.2017|17.637|13.549|7.122|17.479|24.264|3.442|3.561|26.500|30.854|3.047|3.561|8.560|1.778|6.607|36.709|21.312|2.117|1.266|5.487|2.822|16.337|47.702|6.313|5.812|41.560|2.707|17.091|68.966|6.585|23.710|32.740|1.787
22.05.2017|17.598|13.540|7.137|17.456|24.275|3.420|3.558|26.485|30.669|3.026|3.561|8.580|1.771|6.578|36.502|21.162|2.109|1.264|5.473|2.826|16.430|47.411|6.316|5.808|41.554|2.706|16.999|68.539|6.617|23.557|32.523|1.787
23.05.2017|17.729|13.540|7.209|17.533|24.271|3.429|3.558|26.480|30.633|3.033|3.564|8.584|1.775|6.584|36.392|21.252|2.101|1.269|5.500|2.824|16.626|47.437|6.308|5.814|41.795|2.719|17.011|68.690|6.627|23.615|32.665|1.788
24.05.2017|17.678|13.531|7.271|17.515|24.219|3.432|3.557|26.465|30.648|3.035|3.564|8.589|1.776|6.586|36.521|21.146|2.106|1.273|5.507|2.820|16.636|47.300|6.321|5.816|41.903|2.717|17.028|68.827|6.628|23.642|32.707|1.825
25.05.2017|17.583|13.504|7.207|17.537|24.222|3.430|3.549|26.410|30.519|3.023|3.555|8.576|1.770|6.585|36.455|21.073|2.103|1.280|5.505|2.830|16.564|47.227|6.319|5.804|41.831|2.715|17.012|68.846|6.607|23.552|32.526|1.826
